millis,ldr_voltage,temp,hum,tvoc,eco2,prob0,prob1,prob2,AI_latency_us
104639,0.00,22.90,50.30,60.00,450.00,43,30,27,839
105640,0.00,22.90,50.30,60.00,450.00,43,30,27,808
106648,0.00,22.90,50.30,60.00,450.00,43,30,27,820
107649,0.00,22.90,50.30,60.00,450.00,43,30,27,812
108657,0.00,22.90,50.20,60.00,450.00,43,30,27,828
109657,0.00,22.90,50.20,60.00,450.00,43,30,27,809
110665,0.00,22.90,50.30,60.00,450.00,43,30,27,853
111666,0.00,22.90,50.30,60.00,450.00,43,30,27,812
112674,0.00,22.80,50.30,60.00,450.00,43,30,27,837
113674,0.00,22.80,50.30,60.00,450.00,43,30,27,804
114682,0.00,22.80,50.30,60.00,450.00,43,30,27,845
115683,0.00,22.80,50.30,60.00,450.00,43,30,27,758
116691,0.00,22.90,50.20,60.00,450.00,43,30,27,816
117691,0.00,22.90,50.20,60.00,450.00,43,30,27,792
118699,0.00,22.80,50.30,60.00,450.00,43,30,27,809
119699,0.00,22.80,50.30,60.00,450.00,43,30,27,804
120707,0.00,22.90,50.20,60.00,450.00,43,30,27,851
121708,0.00,22.90,50.20,60.00,450.00,43,30,27,791
122716,0.00,22.90,50.20,60.00,450.00,43,30,27,843
123717,0.00,22.90,50.20,60.00,450.00,43,30,27,811
124725,0.00,22.90,50.30,60.00,450.00,43,30,27,841
125726,0.00,22.90,50.30,60.00,450.00,43,30,27,802
126734,0.00,22.80,50.30,60.00,450.00,43,30,27,847
127735,0.00,22.80,50.30,60.00,450.00,43,30,27,803
128743,0.00,22.80,50.30,60.00,450.00,43,30,27,846
129744,0.00,22.80,50.30,60.00,450.00,43,30,27,808
130752,0.00,22.80,50.20,60.00,450.00,43,30,27,848
131753,0.00,22.80,50.20,60.00,450.00,43,30,27,814
132761,0.00,22.80,50.30,60.00,450.00,43,30,27,849
133762,0.00,22.80,50.30,60.00,450.00,43,30,27,779
134770,0.00,22.80,50.20,60.00,450.00,43,30,27,830
135770,0.00,22.80,50.20,60.00,450.00,43,30,27,760
